id_cliente,deuda_credito,numero_dependientes,deuda_total,fecha_inicio_negocio,num_productos_financieros,edad,ingreso_aprox,cuota_mensual,dti_total,dti_credito,cuota_dti,dti_total_n,dti_credito_n,cuota_dti_n,edad_n,dependientes_n,productos_n,municipio_residencia_Ciudad de Guatemala,municipio_residencia_Escuintla,municipio_residencia_Mixco,municipio_residencia_Quetzaltenango,municipio_residencia_Villa Nueva,tipo_credito_Abasto,tipo_credito_AdquisiciÃ³n de Equipo,tipo_credito_Nuevo Negocio,tipo_credito_VehÃ­culo,tipo_negocio_AbarroterÃ­a,tipo_negocio_Manufactura,tipo_negocio_Restaurante,tipo_negocio_Salud,tipo_negocio_TecnologÃ­a,nivel_educativo_Bachillerato,nivel_educativo_Postgrado,nivel_educativo_Primaria,nivel_educativo_Secundaria,nivel_educativo_Universidad,estado_civil_Casado,estado_civil_Divorciado,estado_civil_Soltero,estado_civil_Viudo,genero_F,genero_M,genero_O,incumplimiento
1,25603.78,8,33015.78,2013-10-30,8,59,25000.5,1376.1861484347346,1.3206047878514187,1.0241307173446879,0.05504634500828737,0.44020159595047287,0.3413769057815626,0.03669756333885824,0.6119402985074627,0.8,1.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
2,23354.85,2,23354.85,2022-12-29,1,25,25000.5,1163.4883849511773,0.9341753164563038,0.9341753164563038,0.046538604624093066,0.3113917721521013,0.3113917721521013,0.031025736416062044,0.1044776119402985,0.2,0.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3,11777.83,1,12259.71,0,2,30,25000.5,469.7362344494403,0.49037859240853665,0.4711037779055977,0.018789073595754133,0.16345953080284556,0.15703459263519923,0.012526049063836088,0.1791044776119403,0.1,0.14285714285714285,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
4,51434.12,8,147714.67,2008-05-01,6,58,25000.5,8326.767732991893,5.908468630391054,2.057323653444638,0.33306404802539263,1.0,0.6857745511482127,0.22204269868359508,0.5970149253731343,0.8,0.7142857142857143,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
5,23104.73,4,56200.48,2016-02-24,5,18,25000.5,1176.6394726083154,2.2479742404252727,0.9241707165487022,0.04706463760969783,0.7493247468084242,0.30805690551623405,0.03137642507313189,0.0,0.4,0.5714285714285714,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
6,57494.36,0,159730.47,0,5,60,25000.5,953.173933142182,6.389091017924078,2.299728405339904,0.03812619480026623,1.0,0.7665761351133012,0.025417463200177487,0.6268656716417911,0.0,0.5714285714285714,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
7,47231.43,2,134678.96,0,2,55,25000.5,7646.386032638587,5.387050658771342,1.8892194155361204,0.3058493243068233,1.0,0.6297398051787068,0.20389954953788222,0.5522388059701493,0.2,0.14285714285714285,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
8,32849.18,3,44793.58,2008-10-09,8,46,62501.25,2678.2240752284765,0.7166829463296065,0.5255763684642215,0.04285072818840625,0.23889431544320217,0.17519212282140717,0.028567152125604164,0.417910447761194,0.3,1.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
9,25430.15,6,67566.68,2002-05-09,6,32,40000.5,2073.3438668564313,1.6891458856342008,0.6357458031615668,0.05183294875825548,0.5630486285447336,0.21191526772052227,0.034555299172170324,0.208955223880597,0.6,0.7142857142857143,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
10,40099.43,1,40099.43,2006-04-16,1,47,40000.5,567.9961839141007,1.0024732190596999,1.0024732190596999,0.014199727100908763,0.33415773968656665,0.33415773968656665,0.009466484733939176,0.43283582089552236,0.1,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
